,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy
370321,2020-08-28T20:29:48+00:00,Boy Joy Taylor ain’t have to look that good today. My lord. 😍,1299444091697197058,🦛,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,724,1205,1
373098,2020-08-28T16:55:45+00:00,i’m going to tavern and I put in joy district 🤣,1299390225597321216,satanic hispanic,1,0,5,0,"[-87.940033, 41.644102]","Chicago, IL",0,823,466,1
374972,2020-08-28T14:31:24+00:00,"Windswept.
But lately the sweeping winds haven't been filled with joy or moments that bring a smile like this to my face. Instead, they have been disruptive gusts that have been heart-shattering and painting my… https://t.co/4LNf4PTxx1",1299353895517532160,Grace in Style,0,0,0,0,"[-87.632496, 41.883222]","Chicago, IL",0,900,187,1
376751,2020-08-28T08:58:58+00:00,I like you but I don’t know what to say or how to approach or how to not hurt you or hurt myself and I will let it pass in the style of Joy Division tonight fuck it dot blogspot dot com,1299270238425485313,Baldomero Lizamendi Errázuriz,1,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,365,559,1
378306,2020-08-28T04:05:01+00:00,"@GottaLaff They were fantastic. I wish Rachel, Nicolle &amp; Joy would have a get together show once a week. 

Mary Trump was icing ☺️",1299196261602603015,𝐀𝐥𝐰𝐚𝐲𝐬 𝐓𝐡𝐢𝐧𝐤𝐢𝐧𝐠🤔,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,4212,4229,1
378373,2020-08-28T03:59:15+00:00,"Friday WGCI 12pm &amp; 11pm
Joy District 5pm",1299194812202180608,#TheMileHighClub,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,4076,842,1
378497,2020-08-28T03:51:20+00:00,"Three smiles all at once.
The pure joy my babies bring.
I wish there were four.

#50years #50days #day34
#haiku #lifeafterdeath  #joystillflows #ithinkofhimeveryday
#canttaketoomanypictures @ Hyde Park https://t.co/kPjheE2OAD",1299192820608237570,Jessica Allender,0,0,0,0,"[-87.592314, 41.79413]","Chicago, IL","['50years', '50days', 'day34', 'haiku', 'lifeafterdeath', 'joystillflows', 'ithinkofhimeveryday', 'canttaketoomanypictures']",104,391,1
378542,2020-08-28T03:48:14+00:00,Only here for the Joy Rachel and Nicole commentary #MSNBC,1299192040429948930,A - U - T - O MATIC,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",['MSNBC'],418,876,1
378568,2020-08-28T03:45:57+00:00,@enezka_ has a neon I designed propped up in her salon and I am weak with gratitude and joy. 🥺💕,1299191462140301313,✨.gif,1,0,0,0,"[-87.8041444, 41.821108]","Berwyn, IL",0,745,455,1
379359,2020-08-28T02:56:50+00:00,Documenting the joy of the revolution w/ @TheTRiiBE https://t.co/nYrbFasoZz,1299179102524657666,Simp semper tyrannis,0,4,11,0,"[-87.940033, 41.644102]","Chicago, IL",0,926,3736,1
