,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy,sentiment_score
107557,2021-11-11T01:51:59+00:00,"To LEAD is to inspire,change,create &amp;build yourself&amp;those around you in the process. Words can’t express the joy I had supporting 5locations&amp;being able to inspire people to win big along the way. Here’s a little look at my journey! #LEADtheway2021 https://t.co/BoCJE0z2rb",1458613444622626819,Ramonita Gaud,1,2,27,1,"[-87.940033, 41.644102]","Chicago, IL",['LEADtheway2021'],1374,1716,1,0.94
109178,2021-11-12T23:12:06+00:00,Metal Monkey Dance Of Joy on tap now. https://t.co/l3RzhtSl0X @MetalMonkeyBrew #BeerMenus,1459297985574191109,Monk's Burgers and More,0,0,0,0,"[-87.86978, 41.812471]","La Grange Park, IL",['BeerMenus'],877,738,1,0.59
109672,2021-11-12T22:18:28+00:00,Britney is free and I may be weeping from joy. #BritneySpears,1459284486466723845,jėn,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",['BritneySpears'],36,287,1,0.64
110030,2021-11-12T21:43:02+00:00,Drinking a Barrel Aged Imperial Pajamas (Almond Joy Variant) by @BegyleBrewing at @begylebrewing — https://t.co/HF8fRookya,1459275569942642697,shai_s,2,0,3,0,"[-87.674408, 41.9553146]","Chicago, IL",,133,1971,1,0.59
110607,2021-11-12T20:55:55+00:00,My lawn is being mowed as it snows at the same time lmfaoooo why do I find so much joy in this,1459263714016874496,sarah tigges ✨,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",,732,598,1,0.62
110837,2021-11-12T20:32:53+00:00,"Seeing Bearcat holding his book brings me so much joy. THIS is why I love being an editor. Make sure to grab a copy wherever you buy your books while they’re still in stock, #Flames fans! https://t.co/6WUmBsGJjI",1459257916616327170,Michelle Bruton,0,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",['Flames'],10561,3053,1,0.9
111686,2021-11-12T19:04:39+00:00,"New paper accepted today: “Children Born of Genocidal Rape: What Do We Know About Their Experiences and Needs?”, led by Dr. Glorieuse Uwizeye, coming soon to Public Health Nursing. It’s been a great week! Good work by good people getting the space it deserves is such a joy.",1459235712046407681,"Julienne Rutherford, professional placentrix",1,2,28,0,"[-87.805698, 41.8650062]","Oak Park, IL",,7078,5942,1,0.89
112201,2021-11-12T18:09:24+00:00,The tour was great! Oh btw it is 38 and snow flurries with sleet so joy!! @ Chicago Downtown https://t.co/ix0vm1x7Bs,1459221805198151686,Scott Smith,0,0,1,0,"[-87.62614846, 41.88046793]","Chicago, IL",,624,547,1,0.9
113034,2021-11-12T16:50:28+00:00,@StClement Wonderful joy Fr. Matt,1459201944740941831,Fr. Peter Wojcik,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,4962,627,1,0.82
113325,2021-11-12T16:19:39+00:00,Sneakers give me joy https://t.co/04WE7t7gO7,1459194187425931273,wannabe asian greaser,0,0,4,0,"[-87.940033, 41.644102]","Chicago, IL",,329,147,1,0.59
