,Char,Unicode,Neg,Neut,Pos,Sentiment score,Emot_Intensity
398,😼,0x1f63c,0.194,0.258,0.548,0.355,0.6775
399,🐙,0x1f419,0.097,0.419,0.484,0.387,0.6935
400,👨,0x1f468,0.097,0.29,0.613,0.516,0.758
401,🍚,0x1f35a,0.226,0.097,0.677,0.452,0.726
402,🍖,0x1f356,0.258,0.355,0.387,0.129,0.5645
403,♨,0x2668,0.032,0.065,0.903,0.871,0.9355
404,🎹,0x1f3b9,0.032,0.581,0.387,0.355,0.6775
405,♕,0x2655,0.032,0.548,0.419,0.387,0.6935
406,▃,0x2583,0.032,0.032,0.935,0.903,0.9515
407,🚘,0x1f698,0.3,0.333,0.367,0.067,0.5335
408,🍏,0x1f34f,0.267,0.4,0.333,0.067,0.5335
409,👩,0x1f469,0.333,0.267,0.4,0.067,0.5335
410,👦,0x1f466,0.2,0.467,0.333,0.133,0.5665
411,🇬,0x1f1ec,0.1,0.533,0.367,0.267,0.6335
412,🇧,0x1f1e7,0.1,0.533,0.367,0.267,0.6335
413,☠,0x2620,0.267,0.5,0.233,-0.033,0.5165
414,🐠,0x1f420,0.172,0.241,0.586,0.414,0.707
415,🚹,0x1f6b9,0.069,0.172,0.759,0.69,0.845
416,💵,0x1f4b5,0.138,0.345,0.517,0.379,0.6895
417,✰,0x2730,0.034,0.138,0.828,0.793,0.8965000000000001
